time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-17T07:16:13.880Z,-16.4538,168.0119,10,4.8,mb,,86,5.394,0.83,us,us2000iudg,2018-12-17T08:19:21.040Z,"73km ESE of Lakatoro, Vanuatu",earthquake,11.4,1.9,0.085,43,reviewed,us,us
2018-12-17T07:12:39.530Z,29.9959,67.7155,10,4.7,mb,,60,4.669,0.67,us,us2000iud2,2018-12-17T07:49:35.561Z,"24km WSW of Harnai, Pakistan",earthquake,8.6,1.9,0.065,71,reviewed,us,us
2018-12-17T06:52:40.850Z,-16.6168,168.2909,10,4.7,mb,,62,5.452,0.77,us,us2000iud5,2018-12-17T08:52:35.040Z,"108km ESE of Lakatoro, Vanuatu",earthquake,10.3,1.9,0.077,52,reviewed,us,us
2018-12-17T01:08:11.120Z,36.562,71.2376,225.01,4.9,mb,,56,1.023,0.65,us,us2000iua8,2018-12-17T01:27:05.040Z,"29km WSW of Ashkasham, Afghanistan",earthquake,6.9,5.7,0.05,127,reviewed,us,us
2018-12-17T00:22:52.300Z,-17.9164,-178.08,502.5,4.8,mb,,60,3.588,1.16,us,us2000iu9y,2018-12-17T00:42:21.040Z,"Fiji region",earthquake,12.5,8.3,0.079,49,reviewed,us,us
2018-12-16T18:28:06.960Z,-16.4934,168.2148,35,4.9,mb,,65,5.493,0.7,us,us2000iu6b,2018-12-16T19:17:59.040Z,"94km ESE of Lakatoro, Vanuatu",earthquake,9.6,2,0.108,27,reviewed,us,us
2018-12-16T17:59:18.530Z,-16.4495,168.182,35,4.7,mb,,81,5.504,1.39,us,us2000iu66,2018-12-16T18:55:24.040Z,"89km ESE of Lakatoro, Vanuatu",earthquake,9,2,0.137,16,reviewed,us,us
2018-12-16T17:12:24.120Z,-16.5697,168.3648,30.6,4.5,mb,,124,5.535,1.45,us,us2000iu5w,2018-12-16T18:19:07.040Z,"113km ESE of Lakatoro, Vanuatu",earthquake,10.2,6.5,0.157,13,reviewed,us,us
2018-12-16T16:27:22.930Z,-23.4014,-69.321,82.53,4.8,mb,,105,0.236,0.69,us,us2000iu57,2018-12-16T17:13:35.040Z,"110km SSW of Calama, Chile",earthquake,5.7,4.5,0.081,47,reviewed,us,us
2018-12-16T16:15:45.920Z,-16.5137,168.1728,58.46,5,mb,,103,5.451,0.69,us,us2000iu5f,2018-12-16T17:02:24.040Z,"91km ESE of Lakatoro, Vanuatu",earthquake,13.7,6.6,0.105,29,reviewed,us,us
2018-12-16T15:03:26.500Z,-16.4357,168.1044,43.91,5.3,mb,,63,5.465,1.19,us,us2000iu4n,2018-12-16T15:51:35.040Z,"81km ESE of Lakatoro, Vanuatu",earthquake,7.7,5.4,0.061,88,reviewed,us,us
2018-12-16T14:26:19.590Z,-23.327,112.4851,10,5.8,mww,,43,1.749,0.77,us,us2000iu4a,2018-12-17T10:38:28.495Z,"206km NW of Carnarvon, Australia",earthquake,7.9,1.7,0.051,37,reviewed,us,us
2018-12-16T13:01:20.560Z,-6.3245,147.6716,65.77,5,mww,,28,3.102,0.96,us,us2000iu3z,2018-12-16T14:20:58.952Z,"37km NW of Finschhafen, Papua New Guinea",earthquake,5.9,5.1,0.073,18,reviewed,us,us
2018-12-16T12:21:07.990Z,-4.2366,152.8629,57.14,5,mb,,124,0.698,0.83,us,us2000iu3w,2018-12-16T12:39:10.040Z,"31km NW of Taron, Papua New Guinea",earthquake,10.1,7.9,0.123,21,reviewed,us,us
2018-12-16T10:31:14.210Z,-16.4709,168.4744,35.35,4.8,mb,,120,5.679,1.26,us,us2000iu3d,2018-12-16T10:59:30.040Z,"119km ESE of Lakatoro, Vanuatu",earthquake,14.5,3.8,0.144,16,reviewed,us,us
2018-12-16T09:48:20.660Z,-16.3395,168.1388,9.56,5.5,mww,,54,5.559,0.79,us,us2000iu3c,2018-12-16T13:39:35.238Z,"81km ESE of Lakatoro, Vanuatu",earthquake,9.2,4,0.071,19,reviewed,us,us
2018-12-16T09:42:37.230Z,-3.8992,140.2764,61.14,6.1,mww,,18,7.316,1.12,us,us2000iu2u,2018-12-17T13:00:20.199Z,"144km SSW of Abepura, Indonesia",earthquake,7.5,3.9,0.05,38,reviewed,us,us
2018-12-16T07:44:09.520Z,-16.5177,168.1483,48.61,5.2,mb,,60,5.432,1.36,us,us2000iu2i,2018-12-16T08:04:21.040Z,"89km ESE of Lakatoro, Vanuatu",earthquake,7.1,5.3,0.051,128,reviewed,us,us
2018-12-16T04:46:11.030Z,28.2635,104.9907,27.34,5.4,mww,,23,6.977,0.92,us,us2000iu11,2018-12-16T13:02:48.229Z,"24km WSW of Zhongcheng, China",earthquake,8.3,4.9,0.071,19,reviewed,us,us
2018-12-16T02:43:48.710Z,-16.3445,168.1292,48.07,5.2,mb,,63,5.55,1.02,us,us2000iu00,2018-12-16T03:02:41.040Z,"80km ESE of Lakatoro, Vanuatu",earthquake,9.5,6.2,0.074,60,reviewed,us,us
2018-12-16T00:41:21.570Z,13.553,120.6451,64.79,4.5,mb,,119,8.587,0.49,us,us2000itzd,2018-12-16T22:40:46.040Z,"14km NW of Wawa, Philippines",earthquake,13,8.9,0.085,41,reviewed,us,us
2018-12-16T00:04:13.770Z,-30.6886,-71.7949,27.63,4.6,mb,,86,0.138,0.84,us,us2000ityn,2018-12-16T22:31:03.988Z,"57km W of Ovalle, Chile",earthquake,5.3,5.4,0.107,26,reviewed,us,us
2018-12-15T23:47:41.920Z,-32.3722,-178.7412,10,4.9,mb,,146,3.194,0.81,us,us2000ityt,2018-12-16T22:36:19.040Z,"105km S of L'Esperance Rock, New Zealand",earthquake,4.7,1.9,0.104,29,reviewed,us,us
