time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-19T12:36:13.483Z,61.4206,-150.0378,34.2,2.1,ml,,,,0.65,ak,ak20522886,2018-12-19T12:45:06.565Z,"12km SSW of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-12-19T12:33:24.750Z,38.8048325,-122.791832,1.48,1.9,md,25,61,0.01203,0.04,nc,nc73123095,2018-12-19T13:04:03.093Z,"4km NW of The Geysers, CA",earthquake,0.2,0.34,0.11,6,automatic,nc,nc
2018-12-19T12:30:58.220Z,35.6446667,-118.3171667,6.88,2.04,ml,30,62,0.05772,0.13,ci,ci38166687,2018-12-19T12:41:47.270Z,"14km ESE of Wofford Heights, CA",earthquake,0.22,0.55,0.247,26,automatic,ci,ci
2018-12-19T12:30:31.810Z,19.1861668,-155.4533386,33.25,2.02,md,48,124,0.0317,0.12,hv,hv70738086,2018-12-19T12:33:44.770Z,"3km SE of Pahala, Hawaii",earthquake,0.55,0.85,0.16,17,automatic,hv,hv
2018-12-19T12:24:23.740Z,19.1849995,-155.4538269,33.64,2.31,md,31,159,0.07457,0.14,hv,hv70738076,2018-12-19T12:27:28.760Z,"3km SE of Pahala, Hawaii",earthquake,0.71,1,0.26,4,automatic,hv,hv
2018-12-19T12:22:14.340Z,33.0053333,-116.359,10.54,2.72,ml,81,48,0.1249,0.21,ci,ci38166679,2018-12-19T12:33:38.970Z,"24km ESE of Julian, CA",earthquake,0.18,0.56,0.164,25,automatic,ci,ci
2018-12-19T12:08:04.140Z,47.4928333333333,-122.993166666667,20.93,1.45,ml,9,162,,0.19,uw,uw61507512,2018-12-19T14:38:14.090Z,"13km WNW of Belfair, Washington",earthquake,0.61,0.63,0.0944369733863282,5,reviewed,uw,uw
2018-12-19T12:07:30.590Z,36.6528,-116.4303,8.7,-0.5,ml,5,145.15,0.082,0,nn,nn00670808,2018-12-19T12:08:41.980Z,"40km SE of Beatty, Nevada",earthquake,,2.5,,,automatic,nn,nn
2018-12-19T11:47:04.035Z,61.3995,-149.9923,39.2,1.6,ml,,,,0.54,ak,ak20522881,2018-12-19T11:50:26.513Z,"13km S of Big Lake, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-12-19T11:35:13.337Z,61.449,-150.0092,22,2.4,ml,,,,0.77,ak,ak20522827,2018-12-19T11:45:14.374Z,"8km SSW of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-12-19T11:25:08.810Z,-0.1539,124.38,58.41,5,mb,,50,1.834,0.81,us,us2000iv0l,2018-12-19T11:43:54.040Z,"74km SE of Molibagu, Indonesia",earthquake,7.2,6.5,0.062,82,reviewed,us,us
2018-12-19T11:23:15.910Z,38.8131676,-122.8301697,1.18,0.91,md,15,71,0.004363,0.04,nc,nc73123075,2018-12-19T12:13:02.639Z,"8km WNW of The Geysers, CA",earthquake,0.24,0.42,0.14,3,automatic,nc,nc
2018-12-19T11:19:17.128Z,61.3933,-150.0646,37.3,1.6,ml,,,,0.6,ak,ak20522824,2018-12-19T11:24:36.187Z,"15km SSW of Big Lake, Alaska",earthquake,,0.8,,,automatic,ak,ak
